Subject	Run	TrialNum 	 CueOnset 	 TargetOnset 	 ResponseTime 	 TargetStream 	 StimCat 	 Correct 	 ResponseChar 	 CueType 	 NumSeed/StartSide 	 Context
2	4	16	147.9933284	148.2433437	1.109165778	2	2	1	49	2	0	0
2	4	17	155.9933308	156.2433153	1.405008401	2	1	1	54	1	0	0
2	4	18	165.9933206	166.2433192	1.62489578	2	2	1	49	1	0	0
2	4	19	175.993294	176.2432887	1.804568399	2	1	1	54	1	0	0
2	4	20	185.9932937	186.243296	0	2	1	0	0	1	0	0
2	4	21	195.9932759	196.2432788	0	2	1	0	0	1	0	2
2	4	22	205.9932638	206.2432495	0	1	1	0	0	2	0	0
2	4	23	215.9932469	216.2432498	1.000106861	1	2	1	49	1	0	0
2	4	24	223.9932451	224.2432335	0.882757763	1	1	1	54	1	0	0
2	4	25	231.9932333	232.243238	0.750087089	1	2	1	49	1	0	0
2	4	26	239.9932143	240.2432223	0.623432328	1	2	1	49	1	0	0
2	4	27	247.9932041	248.2432172	0	1	2	0	0	1	0	0
2	4	28	255.9932016	256.2432057	0.827993301	1	1	1	54	1	0	0
2	4	29	265.9931829	266.2431994	1.920880281	2	2	1	49	2	0	0
2	4	30	273.9931884	274.2431894	1.000098409	2	1	1	54	1	0	0
2	4	31	283.9931721	284.2431592	0	1	1	0	0	2	0	0
2	4	32	293.9931555	294.2431583	1.072216618	1	1	1	54	1	0	0
2	4	33	301.9931367	302.2431508	0.977110611	1	2	1	49	1	0	0
2	4	34	309.9931268	310.2431447	1.000099012	1	2	1	49	1	0	0
2	4	35	317.9931337	318.2431357	1.0187526	1	2	1	49	1	0	0
2	4	36	327.9931207	328.243104	1.216552953	2	2	1	49	2	0	0
2	4	37	337.993106	338.2430992	0	2	1	0	0	1	0	0
2	4	38	347.993096	348.2430904	0.716306026	1	2	1	49	2	0	0
2	4	39	357.9930718	358.2430844	1.014079392	1	1	1	54	1	0	0
2	4	40	365.9930785	366.2430605	0.892942162	1	1	1	54	1	0	0
2	4	41	375.9930643	376.2430518	0.976716976	1	1	1	54	1	0	3
2	4	42	383.9930534	384.2430584	1.503572298	2	1	1	54	2	0	0
2	4	43	393.9930453	394.2430472	0.644368032	1	2	1	49	2	0	0
2	4	44	403.9930175	404.2430288	0.750100975	2	1	0	49	2	0	0
2	4	45	413.9930208	414.2430098	0	1	2	0	0	2	0	0
2	4	46	421.9929846	422.2430005	0	2	2	0	0	2	0	0
2	4	47	431.9929937	432.2429823	0	1	2	0	0	2	0	0
2	4	48	441.9929834	442.2429712	1.600351555	1	1	1	54	1	0	0
2	4	49	451.9929577	452.2429808	1.105064307	2	2	1	49	2	0	0
2	4	50	459.9929677	460.2429679	0.934065845	2	1	1	54	1	0	0
2	4	51	467.9929583	468.2429413	1.279900408	1	1	0	49	2	0	0
2	4	52	475.9929469	476.2429322	0	2	1	0	0	2	0	0
2	4	53	483.9929194	484.2429343	0.880472929	1	2	1	49	2	0	0
2	4	54	493.9929122	494.2429277	0	2	2	0	0	2	0	0
2	4	55	501.9929152	502.2429153	0.964239895	2	2	1	49	1	0	0
2	4	56	509.9928928	510.2429063	0	1	2	0	0	2	0	0
2	4	57	519.9928919	520.2428924	0	2	1	0	0	2	0	0
2	4	58	527.9928829	528.2428827	0.750100371	1	2	1	49	2	0	0
2	4	59	535.9928602	536.2428746	0	1	1	0	0	1	0	0
2	4	60	545.9928491	546.2428604	0	2	1	0	0	2	0	0
6	1	1	14.00152745	14.25151862	1.00405107	2	1	1	54	2	2101481000	2
6	1	2	22.00152262	22.25153885	0.944957972	2	2	1	49	1	20	0
6	1	3	32.00155251	32.25155726	1.343674429	2	1	0	49	1	3	0
6	1	4	42.00157605	42.25156481	1.080585202	1	2	1	49	2	2	0
6	1	5	50.00159054	50.25159107	1.295331157	2	2	1	49	2	1	0
6	1	6	58.00160654	58.25160616	1.054182005	1	1	1	54	2	0	0
6	1	7	66.00162314	66.25162307	0.790012392	2	1	1	54	2	0	0
6	1	8	74.00164096	74.25163635	0.80171129	1	2	1	49	2	0	0
6	1	9	82.00165061	82.25165356	1.802835749	1	2	0	54	1	0	0
6	1	10	90.00166692	90.25166895	1.588547728	1	1	1	54	1	0	0
6	1	11	98.00166963	98.25168374	0.860452712	1	2	1	49	1	0	0
6	1	12	108.0016998	108.2517037	1.679158573	1	1	1	54	1	0	0
6	1	13	116.0017161	116.2517182	1.279968787	2	1	1	54	2	0	0
6	1	14	126.0017397	126.2517269	0.900799498	1	1	1	54	2	0	0
6	1	15	136.0017542	136.2517505	0.942584384	2	1	1	54	2	0	0
6	1	16	146.0017729	146.2517701	1.500110333	2	2	1	49	1	0	0
6	1	17	156.0017907	156.2518308	1.080042141	2	2	1	49	1	0	0
6	1	18	166.0018109	166.2518117	0.911004149	2	2	1	49	1	0	0
6	1	19	176.0018272	176.2518268	0.850868097	2	2	1	49	1	0	0
6	1	20	186.0018541	186.2518504	1.080661876	1	1	1	54	2	0	0
6	1	21	196.0018692	196.2518685	1.136383711	1	1	1	54	1	0	3
6	1	22	206.0018873	206.2518863	1.030228167	1	2	1	49	1	0	0
6	1	23	214.0019021	214.2519035	0.910098545	2	1	1	54	2	0	0
6	1	24	224.0019211	224.2519258	0.914888286	2	2	1	49	1	0	0
6	1	25	234.0019428	234.2519437	0.862476435	2	2	1	49	1	0	0
6	1	26	244.0019552	244.2519627	0.781408849	1	1	1	54	2	0	0
6	1	27	252.0019739	252.2519705	1.076290222	1	1	1	54	1	0	0
6	1	28	262.0019957	262.2519944	1.210049793	1	2	1	49	1	0	0
6	1	29	270.0020098	270.2520119	0.941766019	2	2	1	49	2	0	0
6	1	30	280.0020279	280.2520291	1.098680384	2	1	1	54	1	0	0
6	1	31	288.0020325	288.252039	1.139519517	2	2	1	49	1	0	0
6	1	32	296.0020539	296.2520596	1.000112295	2	1	1	54	1	0	0
6	1	33	306.0020723	306.2520762	0.89826773	2	1	1	54	1	0	0
6	1	34	314.0020913	314.2520907	0.872001884	2	1	1	54	1	0	0
6	1	35	324.0021101	324.2521121	0.758912732	2	1	1	54	1	0	0
6	1	36	332.002197	332.2521299	1.17361069	1	2	1	49	2	0	0
6	1	37	340.0021396	340.2521456	1.041550636	1	2	0	54	1	0	0
6	1	38	348.0021568	348.2521583	0.889338169	1	2	1	49	1	0	0
6	1	39	356.002171	356.2521698	1.709250899	2	2	1	49	2	0	0
6	1	40	366.0021722	366.2521924	1.342912514	2	1	1	54	1	0	0
6	1	41	374.0022067	374.2522011	1.830805339	1	1	0	49	2	0	1
6	1	42	382.0022076	382.2522223	0.978705016	2	2	1	49	2	0	0
6	1	43	390.0022332	390.2522359	1.080497358	1	1	1	54	2	0	0
6	1	44	398.002254	398.2522549	0.827221863	2	2	1	49	2	0	0
6	1	45	406.0022628	406.2522676	1.073214186	1	2	1	49	2	0	0
6	1	46	416.0022842	416.2522872	1.163973248	1	1	1	54	1	0	0
6	1	47	426.0023011	426.2522953	0.960764692	2	1	1	54	2	0	0
6	1	48	436.0023217	436.2523222	0.899547651	1	2	1	49	2	0	0
6	1	49	444.0023443	444.2523415	1.108393292	2	2	1	49	2	0	0
6	1	50	452.0023513	452.2523512	0.872298922	1	1	1	54	2	0	0
6	1	51	462.0023691	462.2523753	0.929026279	1	2	1	49	1	0	0
6	1	52	472.0023839	472.2523877	1.103782558	2	1	1	54	2	0	0
6	1	53	482.0024041	482.25241	1.750110559	2	1	1	54	1	0	0
6	1	54	492.002421	492.2524315	0.935440071	1	1	1	54	2	0	0
6	1	55	502.0024475	502.2524502	0.925283115	1	1	1	54	1	0	0
6	1	56	512.0024702	512.2524701	0.867070566	2	2	1	49	2	0	0
6	1	57	520.0024835	520.2524846	1.064689732	2	2	1	49	1	0	0
6	1	58	528.0024958	528.2524909	1.219662783	1	2	1	49	2	0	0
6	1	59	538.0025179	538.2525196	1.101547829	2	2	1	49	2	0	0
6	1	60	546.0025315	546.2525314	0.776186229	1	1	1	54	2	0	0
6	2	1	16.00029342	16.25029425	0.90587058	1	1	1	54	2	2075645000	2
6	2	2	24.00031334	24.25031326	1.008614712	1	2	1	49	1	21	0
6	2	3	32.00032873	32.25032745	0.527446905	2	1	1	54	2	3	0
6	2	4	40.00034081	40.25034466	1.081269235	2	1	1	54	1	2	0
6	2	5	50.00035922	50.25036398	0.811181195	1	1	1	54	2	1	0
6	2	6	60.00037583	60.25037847	0.797047126	1	1	1	54	1	0	0
6	2	7	70.00040148	70.25039537	1.043796837	1	1	1	54	1	0	0
6	2	8	80.00041718	80.25041922	1.750094862	2	1	1	54	2	0	0
6	2	9	88.00042926	88.25043069	1.679321883	2	1	0	49	1	0	0
6	2	10	96.00044254	96.25044095	0.886119953	1	2	1	49	2	0	0
6	2	11	104.0004564	104.2504606	1.206002949	2	2	1	49	2	0	0
6	2	12	114.000477	114.250476	0.670689965	1	2	1	49	2	0	0
6	2	13	122.0004902	122.250495	1.21371417	1	2	1	49	1	0	0
6	2	14	130.0005056	130.2505074	0.966468188	2	2	1	49	2	0	0
6	2	15	138.0005198	138.2505209	0.831306138	2	1	1	54	1	0	0
6	2	16	148.0005397	148.2505369	0.851134647	1	2	1	49	2	0	0
6	2	17	158.0005521	158.2505578	0.712912861	2	1	1	54	2	0	0
6	2	18	168.0005678	168.2505765	0.838707039	2	2	1	49	1	0	0
6	2	19	176.0005829	176.2505967	1.500143236	2	2	1	49	1	0	0
6	2	20	186.0006068	186.2506094	0.753438957	2	2	1	49	1	0	0
6	2	21	196.0006237	196.2506254	0.918261059	2	1	1	54	1	0	3
6	2	22	206.0006412	206.2506263	0.958989406	2	2	1	49	1	0	0
6	2	23	214.0006608	214.2506586	0.879889999	2	1	1	54	1	0	0
6	2	24	224.0006777	224.2506785	0.868462782	2	1	1	54	1	0	0
6	2	25	234.0006964	234.2506966	1.166417776	1	1	1	54	2	0	0
6	2	26	242.0006925	242.2507111	0.882257249	1	1	1	54	1	0	0
6	2	27	250.0007263	250.2507232	1.290180985	2	1	1	54	2	0	0
6	2	28	260.0007465	260.2507489	1.031826559	2	1	1	54	1	0	0
6	2	29	268.000761	268.2507567	0.71468211	2	1	1	54	1	0	0
6	2	30	276.0007746	276.2507724	1.000141878	1	2	1	49	2	0	0
6	2	31	284.0007719	284.2507836	1.101347388	1	2	1	49	1	0	0
6	2	32	294.0008018	294.2507908	1.217232141	2	2	1	49	2	0	0
6	2	33	304.0008286	304.2508249	1.060949285	2	2	1	49	1	0	0
6	2	34	312.0008431	312.2508436	1.074778467	2	2	1	49	1	0	0
6	2	35	322.0008585	322.2508627	0.897619015	2	1	1	54	1	0	0
6	2	36	330.0008727	330.2508769	1.216631122	1	2	1	49	2	0	0
